"","Airport","Airline","Age","Nationality","Destination","DepartureTime","Airfare","ModeTransport","Province"
"196","ICN","Korean Air",35,"Other","Southeast Asia","6pm - 9pm",50,"Private Taxi"," Seoul"
"197","ICN","Foreign Airlines",21,"Southeast Asia","Southeast Asia","9pm - 6am",27,"Public Bus"," Seoul"
"198","ICN","Korean Air",23,"Southeast Asia","Southeast Asia","6pm - 9pm",56,"Private Taxi"," Seoul"
"199","ICN","Korean LCC",29,"Korea","Southeast Asia","6am - 12pm",40,"Private Taxi"," Seoul"
"200","ICN","Foreign Airlines",43,"Korea","China","6pm - 9pm",35,"Public Bus"," Kyungki-do"
"201","ICN","Foreign Airlines",52,"Korea","Southeast Asia","6am - 12pm",999,"Private Taxi"," Kyungki-do"
"202","ICN","Korean LCC",43,"Korea","Japan","12pm - 6pm",11,"Private Car"," Kyungki-do"
"203","ICN","Korean Air",51,"Korea","Southeast Asia","12pm - 6pm",61.3809523809524,"Private Car"," Kyungki-do"
"204","ICN","Korean Air",22,"Korea","China","12pm - 6pm",57,"Subway"," Seoul"
"205","ICN","Foreign Airlines",30,"Korea","Southeast Asia","6am - 12pm",40.9473684210526,"Subway"," Kyungki-do"
"206","ICN","Asiana Airlines",23,"Korea","Japan","9pm - 6am",52,"Subway"," Seoul"
"207","ICN","Korean Air",30,"Korea","Japan","9pm - 6am",48.3433333333333,"Subway"," Kyungki-do"
"208","ICN","Asiana Airlines",37,"Korea","Southeast Asia","6pm - 9pm",100,"Subway"," Kyungki-do"
"209","ICN","Korean Air",33,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Private Taxi"," Kyungki-do"
"210","ICN","Asiana Airlines",29,"China","China","6pm - 9pm",52,"Private Car"," Kyungki-do"
"211","ICN","Korean Air",50,"Korea","Southeast Asia","6pm - 9pm",50,"Private Car"," Kyungki-do"
"212","ICN","Asiana Airlines",25,"Korea","Japan","9pm - 6am",30,"Public Bus"," Kyungki-do"
"213","ICN","Foreign Airlines",23,"Korea","China","6pm - 9pm",37.25,"Subway"," Seoul"
"214","ICN","Korean Air",20,"Korea","Japan","6pm - 9pm",36,"Public Bus"," Kyungki-do"
"215","ICN","Asiana Airlines",27,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Subway"," Seoul"
"216","ICN","Asiana Airlines",22,"Korea","China","6pm - 9pm",40,"Public Bus"," Jeonra-do"
"217","ICN","Asiana Airlines",62,"Korea","China","6pm - 9pm",26.4277777777778,"Private Taxi"," Kyungki-do"
"218","ICN","Foreign Airlines",53,"Korea","Southeast Asia","9pm - 6am",50,"Private Car"," Kyungki-do"
"219","ICN","Korean Air",41,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Subway"," Kyungki-do"
"220","ICN","Foreign Airlines",52,"Korea","Southeast Asia","9pm - 6am",50,"Private Car"," Seoul"
"221","ICN","Asiana Airlines",60,"Korea","China","6pm - 9pm",26.4277777777778,"Subway"," Kyungki-do"
"222","ICN","Foreign Airlines",41,"Korea","Southeast Asia","6pm - 9pm",20,"Private Taxi"," Kyungki-do"
"223","ICN","Foreign Airlines",45,"Korea","China","6pm - 9pm",34,"Private Taxi"," Incheon"
"224","ICN","Asiana Airlines",37,"Korea","Southeast Asia","9pm - 6am",40,"Private Car"," Seoul"
"225","ICN","Asiana Airlines",22,"Korea","China","6pm - 9pm",26.4277777777778,"Subway"," Seoul"
"226","ICN","Asiana Airlines",25,"Korea","Japan","9pm - 6am",27.1222222222222,"Subway"," Seoul"
"227","ICN","Korean Air",27,"Korea","Other","6pm - 9pm",134.571428571429,"Private Taxi"," Seoul"
"228","ICN","Asiana Airlines",33,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Private Taxi"," Seoul"
"229","ICN","Korean LCC",43,"Korea","Southeast Asia","6pm - 9pm",70,"Private Car"," Seoul"
"230","GMP","Asiana Airlines",44,"Japan","Japan","12pm - 6pm",70,"Private Car"," Kyungki-do"
"231","GMP","Asiana Airlines",45,"Korea","Japan","12pm - 6pm",70,"Private Car"," Jeju"
"232","GMP","Korean LCC",58,"Korea","Japan","12pm - 6pm",23,"Private Taxi"," Jeju"
"233","GMP","Foreign Airlines",20,"China","China","6pm - 9pm",67,"Subway"," Seoul"
"234","GMP","Asiana Airlines",32,"Korea","China","12pm - 6pm",30,"Private Taxi"," Chungcheong-do"
"235","GMP","Asiana Airlines",76,"Korea","Japan","6pm - 9pm",24,"Private Car"," Kyungki-do"
"236","GMP","Foreign Airlines",26,"China","China","6pm - 9pm",30,"Private Taxi"," Jeju"
"237","GMP","Foreign Airlines",40,"Korea","China","6pm - 9pm",89,"Private Car"," Kyungsang-do"
"238","GMP","Foreign Airlines",19,"Other","China","6pm - 9pm",52.7222222222222,"Public Bus"," Jeju"
"239","GMP","Foreign Airlines",27,"China","China","6pm - 9pm",86,"Private Taxi"," Jeju"
"240","GMP","Asiana Airlines",60,"Korea","Japan","6pm - 9pm",36.216,"Private Taxi"," Jeju"
"241","GMP","Foreign Airlines",45,"China","China","6pm - 9pm",87,"Private Taxi"," Jeju"
"242","GMP","Korean Air",37,"Japan","Japan","6pm - 9pm",70,"Private Car"," Jeju"
"243","GMP","Foreign Airlines",55,"Korea","China","6pm - 9pm",50,"Private Car"," Seoul"
"244","GMP","Foreign Airlines",23,"China","China","6pm - 9pm",24,"Subway"," Jeju"
"245","GMP","Foreign Airlines",23,"China","China","6pm - 9pm",24,"Subway"," Jeju"
"246","GMP","Foreign Airlines",62,"Korea","Japan","6pm - 9pm",20,"Subway"," Seoul"
"247","GMP","Foreign Airlines",60,"Korea","Japan","6pm - 9pm",20,"Subway"," Seoul"
"248","GMP","Asiana Airlines",25,"Korea","Japan","6pm - 9pm",36.216,"Private Car"," Seoul"
"249","GMP","Asiana Airlines",40,"Korea","Japan","12pm - 6pm",34.14,"Public Bus"," Chungcheong-do"
"250","GMP","Korean Air",50,"Korea","Japan","12pm - 6pm",40,"Private Taxi"," Jeju"
"251","GMP","Asiana Airlines",53,"Other","Japan","12pm - 6pm",35,"Private Taxi"," Seoul"
"252","GMP","Asiana Airlines",39,"Other","Japan","12pm - 6pm",35,"Private Car"," Kyungki-do"
"253","GMP","Asiana Airlines",17,"Korea","China","12pm - 6pm",33.4775,"Private Car"," Jeju"
"254","GMP","Asiana Airlines",21,"Korea","China","12pm - 6pm",33.4775,"Private Taxi"," Kyungki-do"
"255","GMP","Korean Air",43,"Other","China","12pm - 6pm",37,"Private Taxi"," Jeju"
"256","GMP","Asiana Airlines",50,"Korea","Japan","6pm - 9pm",50,"Private Taxi"," Jeju"
"257","GMP","Asiana Airlines",20,"Korea","Japan","6pm - 9pm",50,"Subway"," Kyungki-do"
"258","GMP","Asiana Airlines",28,"Korea","Japan","12pm - 6pm",50,"Private Car"," Seoul"
"259","GMP","Asiana Airlines",32,"Korea","Japan","6pm - 9pm",70,"Public Train"," Jeju"
"260","GMP","Asiana Airlines",39,"Japan","Japan","6pm - 9pm",35,"Private Taxi"," Seoul"
"261","GMP","Korean Air",19,"Korea","Japan","6pm - 9pm",52.926,"Private Taxi"," Seoul"
"262","GMP","Korean Air",50,"Japan","Japan","6pm - 9pm",30,"Subway"," Incheon"
"263","GMP","Asiana Airlines",40,"Southeast Asia","Japan","6pm - 9pm",36.216,"Private Taxi"," Seoul"
"264","GMP","Asiana Airlines",35,"Japan","Japan","6pm - 9pm",90,"Private Taxi"," Jeju"
"265","GMP","Asiana Airlines",23,"Korea","Japan","6pm - 9pm",30,"Subway"," Seoul"
"266","GMP","Asiana Airlines",27,"Korea","Japan","6pm - 9pm",40,"Subway"," Seoul"
"267","GMP","Asiana Airlines",54,"Korea","Other","6am - 12pm",999,"Private Car"," Jeju"
"268","GMP","Foreign Airlines",48,"Korea","China","6pm - 9pm",78,"Private Taxi"," Jeju"
"269","GMP","Asiana Airlines",26,"Japan","Japan","6pm - 9pm",40,"Subway"," Seoul"
"270","GMP","Asiana Airlines",30,"Korea","China","12pm - 6pm",42,"Private Car"," Incheon"
"271","GMP","Asiana Airlines",32,"Korea","China","12pm - 6pm",42,"Private Car"," Seoul"
"272","GMP","Korean Air",36,"Korea","Japan","12pm - 6pm",52.926,"Private Taxi"," Seoul"
"273","GMP","Korean Air",34,"Korea","China","12pm - 6pm",48.05,"Other"," Jeju"
"274","GMP","Korean Air",49,"Korea","Japan","12pm - 6pm",52.926,"Private Car"," Jeju"
"275","GMP","Asiana Airlines",30,"Korea","China","12pm - 6pm",40,"Public Bus"," Kyungki-do"
"276","GMP","Asiana Airlines",60,"Korea","Japan","12pm - 6pm",36.216,"Public Train"," Kyungsang-do"
"277","GMP","Asiana Airlines",35,"Korea","Japan","6pm - 9pm",64,"Private Taxi"," Incheon"
"278","GMP","Foreign Airlines",40,"Korea","China","6pm - 9pm",26,"Private Taxi"," Jeju"
"279","GMP","Korean Air",44,"Korea","Japan","6pm - 9pm",58,"Private Car"," Jeju"
"280","GMP","Asiana Airlines",40,"Korea","Japan","12pm - 6pm",36.216,"Private Car"," Seoul"
"281","GMP","Korean Air",68,"Japan","Japan","6pm - 9pm",52.926,"Public Bus"," Jeju"
"282","GMP","Korean LCC",28,"Korea","Southeast Asia","6am - 12pm",30,"Public Bus"," Seoul"
"283","GMP","Korean Air",37,"Korea","China","6am - 12pm",50,"Subway"," Seoul"
"284","GMP","Asiana Airlines",30,"China","China","12pm - 6pm",34,"Subway"," Seoul"
"285","GMP","Foreign Airlines",47,"Korea","China","12pm - 6pm",52.7222222222222,"Private Car"," Kyungki-do"
"286","GMP","Asiana Airlines",53,"Korea","China","12pm - 6pm",30,"Public Bus"," Seoul"
"287","GMP","Korean LCC",60,"Korea","Southeast Asia","6am - 12pm",30,"Public Bus"," Seoul"
"288","GMP","Foreign Airlines",66,"Korea","Japan","12pm - 6pm",60,"Private Car"," Seoul"
"289","GMP","Korean Air",72,"Korea","China","12pm - 6pm",45.9,"Private Car"," Jeonra-do"
"290","GMP","Foreign Airlines",32,"Korea","Southeast Asia","12pm - 6pm",35,"Private Taxi"," Kyungki-do"
"291","GMP","Foreign Airlines",22,"China","China","12pm - 6pm",52.7222222222222,"Private Car"," Incheon"
"292","GMP","Foreign Airlines",28,"Korea","Southeast Asia","12pm - 6pm",35,"Private Taxi"," Kyungki-do"
"293","GMP","Foreign Airlines",30,"Japan","Japan","12pm - 6pm",53,"Private Car"," Incheon"
"294","GMP","Korean Air",47,"Japan","999","6am - 12pm",35,"Private Taxi"," Kyungki-do"
"295","GMP","Korean Air",23,"Korea","Japan","6am - 12pm",40,"Private Car"," Seoul"
"296","GMP","Foreign Airlines",51,"Other","Other","6am - 12pm",11,"Private Taxi"," Kangwon-do"
"297","GMP","Korean Air",36,"China","China","6am - 12pm",50,"Subway"," Kyungki-do"
"298","GMP","Foreign Airlines",29,"Korea","Japan","12pm - 6pm",45,"Private Car"," Seoul"
"299","GMP","Korean LCC",44,"Japan","Japan","12pm - 6pm",20,"Private Taxi"," Kyungki-do"
"300","GMP","Foreign Airlines",25,"Korea","Japan","12pm - 6pm",50,"Private Car"," Kyungki-do"
"301","GMP","Foreign Airlines",54,"Korea","Japan","12pm - 6pm",66,"Private Taxi"," Seoul"
"302","GMP","Korean LCC",27,"Other","Southeast Asia","6am - 12pm",42.1666666666667,"Private Taxi"," Kyungki-do"
"303","GMP","Foreign Airlines",40,"Korea","China","12pm - 6pm",52.7222222222222,"Private Car"," Seoul"
"304","GMP","Korean Air",74,"Korea","China","12pm - 6pm",48.05,"Private Taxi"," Kyungki-do"
"305","GMP","Korean Air",68,"Korea","China","12pm - 6pm",48.05,"Private Taxi"," Kyungki-do"
"306","GMP","Korean LCC",60,"Korea","Japan","12pm - 6pm",19,"Private Taxi"," Jeju"
"307","GMP","Foreign Airlines",34,"Korea","Japan","6pm - 9pm",60,"Private Taxi"," Kyungki-do"
"308","GMP","Foreign Airlines",40,"Japan","Japan","6pm - 9pm",46.8285714285714,"Subway"," Jeju"
"309","GMP","Foreign Airlines",38,"Korea","China","12pm - 6pm",32,"Subway"," Seoul"
"310","GMP","Korean LCC",45,"Japan","Japan","12pm - 6pm",21,"Private Taxi"," Jeju"
"311","GMP","Korean LCC",29,"Korea","Japan","12pm - 6pm",24,"Public Bus"," Seoul"
"312","GMP","Korean Air",45,"Japan","Japan","12pm - 6pm",25,"Public Bus"," Kyungki-do"
"313","GMP","Korean Air",61,"Korea","Japan","12pm - 6pm",60,"Private Taxi"," Jeonra-do"
"314","GMP","Korean Air",19,"Korea","Japan","12pm - 6pm",40,"Private Car"," Seoul"
"315","GMP","Korean Air",33,"Korea","China","12pm - 6pm",60,"Private Car"," Seoul"
"316","GMP","Korean Air",46,"Korea","China","12pm - 6pm",48.05,"Private Car"," Kyungki-do"
"317","GMP","Korean Air",23,"Korea","Japan","12pm - 6pm",45,"Private Taxi"," Seoul"
"318","GMP","Foreign Airlines",35,"Japan","Japan","6pm - 9pm",200,"Private Taxi"," Jeju"
"319","GMP","Asiana Airlines",42,"Korea","Japan","12pm - 6pm",36.216,"Private Car"," Seoul"
"320","GMP","Korean Air",52,"Korea","Japan","12pm - 6pm",20,"Subway"," Kyungki-do"
"321","GMP","Korean Air",35,"Korea","Japan","6pm - 9pm",20,"Subway"," Seoul"
"322","GMP","Foreign Airlines",24,"China","China","6pm - 9pm",67,"Subway"," Jeju"
"323","GMP","Asiana Airlines",34,"Korea","Japan","12pm - 6pm",30,"Private Car"," Jeju"
"324","GMP","Foreign Airlines",27,"Japan","Japan","6pm - 9pm",46.8285714285714,"Private Taxi"," Jeju"
"325","GMP","Foreign Airlines",55,"Japan","Japan","6pm - 9pm",40,"Subway"," Jeju"
"326","GMP","Asiana Airlines",45,"Korea","Japan","6pm - 9pm",50,"Private Taxi"," Kyungki-do"
"327","GMP","Korean Air",59,"Korea","China","6pm - 9pm",48.05,"Subway"," Kyungki-do"
"328","GMP","Foreign Airlines",22,"Korea","Japan","6pm - 9pm",33,"Public Train"," Seoul"
"329","GMP","Asiana Airlines",43,"Japan","Japan","6pm - 9pm",18,"Public Train"," Jeju"
"330","GMP","Foreign Airlines",39,"China","China","6pm - 9pm",52.7222222222222,"Private Taxi"," Jeju"
"331","GMP","Asiana Airlines",21,"Southeast Asia","Japan","6pm - 9pm",50,"Private Taxi"," Jeju"
"332","GMP","Foreign Airlines",20,"Japan","Japan","6pm - 9pm",40,"Subway"," Jeju"
"333","GMP","Foreign Airlines",22,"Japan","Japan","6pm - 9pm",40,"Subway"," Jeju"
"334","GMP","Foreign Airlines",23,"Korea","Japan","12pm - 6pm",45,"Public Bus"," Seoul"
"335","GMP","Foreign Airlines",21,"Korea","Japan","12pm - 6pm",45,"Subway"," Kyungki-do"
"336","GMP","Foreign Airlines",26,"China","China","6pm - 9pm",52.7222222222222,"Public Train"," Jeju"
"337","GMP","Foreign Airlines",25,"China","China","6pm - 9pm",52.7222222222222,"Public Train"," Jeju"
"338","GMP","Korean Air",62,"Korea","Japan","12pm - 6pm",30,"Private Car"," Seoul"
"339","GMP","Korean Air",68,"Korea","China","12pm - 6pm",48.05,"Private Car"," Kyungki-do"
"340","GMP","Korean Air",62,"Korea","China","12pm - 6pm",48.05,"Subway"," Kyungki-do"
"341","GMP","Korean Air",60,"Korea","Japan","12pm - 6pm",60,"Private Taxi"," Kyungki-do"
"342","GMP","Korean Air",65,"Korea","Japan","12pm - 6pm",60,"Private Taxi"," Kyungki-do"
"343","GMP","Korean Air",70,"Korea","China","12pm - 6pm",48.05,"Private Car"," Jeonra-do"
"344","GMP","Foreign Airlines",67,"Korea","China","12pm - 6pm",52.7222222222222,"Subway"," Seoul"
"345","GMP","Foreign Airlines",67,"Korea","Japan","12pm - 6pm",40,"Private Taxi"," Seoul"
"346","GMP","Asiana Airlines",70,"Korea","China","12pm - 6pm",33.4775,"Private Taxi"," Chungcheong-do"
"347","GMP","Korean Air",50,"Korea","Japan","12pm - 6pm",52.926,"Subway"," Seoul"
"348","GMP","Korean Air",51,"Korea","Japan","6am - 12pm",65,"Private Taxi"," Kyungki-do"
"349","GMP","Foreign Airlines",56,"Korea","Japan","12pm - 6pm",32.5,"Private Taxi"," Kyungki-do"
"350","GMP","Foreign Airlines",58,"Korea","Japan","12pm - 6pm",46.8285714285714,"Private Taxi"," Kyungki-do"
"351","GMP","Foreign Airlines",55,"Korea","Japan","12pm - 6pm",32.5,"Private Car"," Kyungki-do"
"352","GMP","Foreign Airlines",55,"Korea","Japan","12pm - 6pm",50,"Private Taxi"," Seoul"
"353","GMP","Foreign Airlines",51,"Korea","China","12pm - 6pm",40,"Private Taxi"," Seoul"
"354","GMP","Korean LCC",53,"Korea","Southeast Asia","6am - 12pm",60,"Public Train"," Kyungsang-do"
"355","GMP","Asiana Airlines",53,"Korea","Japan","6am - 12pm",40,"Private Taxi"," Kyungki-do"
"356","GMP","Asiana Airlines",59,"Korea","Japan","12pm - 6pm",50,"Subway"," Kyungki-do"
"357","GMP","Korean Air",60,"Korea","Japan","6am - 12pm",100,"Private Taxi"," Seoul"
"358","GMP","Foreign Airlines",61,"Korea","Japan","12pm - 6pm",40,"Private Taxi"," Kyungki-do"
"359","GMP","Asiana Airlines",62,"Korea","China","12pm - 6pm",33.4775,"Private Taxi"," Chungcheong-do"
"360","GMP","Foreign Airlines",62,"Korea","China","12pm - 6pm",52.7222222222222,"Subway"," Seoul"
"361","GMP","Foreign Airlines",66,"Japan","Japan","12pm - 6pm",77,"Subway"," Jeju"
"362","GMP","Korean Air",66,"Korea","China","12pm - 6pm",48.05,"Other"," Kyungki-do"
"363","GMP","Korean Air",60,"Korea","Japan","12pm - 6pm",40,"Public Bus"," Seoul"
"364","GMP","Korean LCC",43,"Korea","Southeast Asia","6am - 12pm",42.1666666666667,"Subway"," Incheon"
"365","GMP","Korean Air",46,"Korea","Japan","12pm - 6pm",52.926,"Private Taxi"," Seoul"
"366","GMP","Foreign Airlines",43,"Korea","Japan","12pm - 6pm",40,"Private Taxi"," Seoul"
"367","GMP","Foreign Airlines",45,"Korea","Japan","12pm - 6pm",38,"Private Taxi"," Seoul"
"368","GMP","Foreign Airlines",44,"Korea","Japan","12pm - 6pm",40,"Subway"," Seoul"
"369","GMP","Korean LCC",49,"Korea","Southeast Asia","6am - 12pm",60,"Private Taxi"," Kyungki-do"
"370","GMP","Asiana Airlines",43,"China","Japan","12pm - 6pm",33,"Subway"," Jeju"
"371","GMP","Foreign Airlines",41,"Korea","China","12pm - 6pm",33,"Private Taxi"," Jeju"
"372","GMP","Korean Air",46,"Korea","China","12pm - 6pm",48.05,"Private Car"," Jeonra-do"
"373","GMP","Korean Air",53,"Korea","Japan","12pm - 6pm",40,"Private Car"," Seoul"
"374","GMP","Korean Air",53,"Korea","China","6am - 12pm",35,"Private Taxi"," Kyungki-do"
"375","GMP","Korean Air",57,"Korea","China","12pm - 6pm",48.05,"Private Car"," Seoul"
"376","GMP","Foreign Airlines",59,"Korea","Japan","12pm - 6pm",5,"Subway"," Kyungki-do"
"377","GMP","Korean Air",56,"Korea","Japan","12pm - 6pm",52.926,"Subway"," Seoul"
"378","GMP","Foreign Airlines",32,"Korea","Japan","12pm - 6pm",30,"Private Taxi"," Seoul"
"379","GMP","Korean Air",33,"China","China","12pm - 6pm",48.05,"Private Taxi"," Kyungki-do"
"380","GMP","Korean LCC",38,"Korea","Southeast Asia","6am - 12pm",50,"Public Bus"," Kangwon-do"
"381","GMP","Korean LCC",37,"Korea","Southeast Asia","6am - 12pm",50,"Private Taxi"," Kangwon-do"
"382","GMP","Korean LCC",30,"Korea","Southeast Asia","6am - 12pm",64,"Public Bus"," Incheon"
"383","GMP","Foreign Airlines",33,"Korea","Other","12pm - 6pm",89,"Subway"," Seoul"
"384","GMP","Foreign Airlines",31,"Korea","China","12pm - 6pm",120,"Private Car"," Seoul"
"385","GMP","Korean LCC",30,"Korea","Southeast Asia","9pm - 6am",34,"Private Taxi"," Seoul"
"386","GMP","Foreign Airlines",48,"Korea","Japan","12pm - 6pm",46.8285714285714,"Subway"," Kyungki-do"
"387","GMP","Foreign Airlines",46,"Korea","Japan","12pm - 6pm",40,"Private Car"," Kyungki-do"
"388","GMP","Korean Air",43,"Korea","Japan","12pm - 6pm",40,"Private Car"," Kyungki-do"
"389","GMP","Korean LCC",40,"Korea","Southeast Asia","6am - 12pm",42.1666666666667,"Private Car"," Incheon"
"390","GMP","Korean LCC",46,"Korea","Southeast Asia","6am - 12pm",42.1666666666667,"Private Car"," Incheon"
"391","GMP","Asiana Airlines",42,"Korea","China","6am - 12pm",33.4775,"Private Car"," Kyungki-do"
"392","GMP","Korean Air",42,"Korea","China","6am - 12pm",48.05,"Private Car"," Seoul"
"393","GMP","Korean Air",43,"Korea","Japan","6am - 12pm",40,"Private Taxi"," Seoul"
"394","GMP","Foreign Airlines",43,"Korea","Japan","12pm - 6pm",31,"Subway"," Kyungki-do"
"395","GMP","Korean LCC",25,"Korea","Southeast Asia","6am - 12pm",40,"Private Taxi"," Kyungki-do"
"396","GMP","Foreign Airlines",28,"Korea","China","12pm - 6pm",120,"Private Car"," Seoul"
"397","GMP","Foreign Airlines",26,"Korea","China","6am - 12pm",52,"Private Car"," Seoul"
"398","GMP","Foreign Airlines",20,"Korea","China","12pm - 6pm",44,"Public Bus"," Kyungki-do"
"399","GMP","Korean LCC",31,"Korea","Southeast Asia","6am - 12pm",39,"Subway"," Seoul"
"400","GMP","Korean LCC",33,"Korea","Southeast Asia","6am - 12pm",40,"Subway"," Seoul"
"401","GMP","Korean LCC",33,"Korea","Southeast Asia","6am - 12pm",39,"Public Bus"," Jeju"
"402","GMP","Korean LCC",39,"Korea","Southeast Asia","6am - 12pm",42.1666666666667,"Private Car"," Incheon"
"403","GMP","Foreign Airlines",30,"Japan","Japan","12pm - 6pm",40,"Private Car"," Kyungki-do"
"404","GMP","Foreign Airlines",38,"Korea","Japan","12pm - 6pm",46.8285714285714,"Subway"," Seoul"
"405","GMP","Asiana Airlines",35,"Korea","China","12pm - 6pm",33.4775,"Private Taxi"," Chungcheong-do"
"406","GMP","Foreign Airlines",37,"Japan","Japan","12pm - 6pm",42,"Private Car"," Jeju"
"407","GMP","Foreign Airlines",30,"Korea","Japan","12pm - 6pm",42,"Private Car"," Seoul"
"408","GMP","Foreign Airlines",32,"China","China","6am - 12pm",89,"Private Taxi"," Seoul"
"409","GMP","Asiana Airlines",35,"Korea","China","12pm - 6pm",33.4775,"Private Taxi"," Chungcheong-do"
"410","GMP","Korean Air",35,"Korea","Japan","12pm - 6pm",30,"Private Car"," Seoul"
"411","GMP","Korean Air",34,"Japan","Japan","12pm - 6pm",52.926,"Private Taxi"," Seoul"
"412","GMP","Korean Air",39,"Japan","Japan","12pm - 6pm",52.926,"Private Car"," Seoul"
"413","GMP","Foreign Airlines",50,"China","China","6pm - 9pm",20,"Private Taxi"," Jeju"
"414","GMP","Foreign Airlines",23,"China","China","6pm - 9pm",20,"Private Taxi"," Jeju"
"415","GMP","Asiana Airlines",40,"Korea","Japan","12pm - 6pm",36.216,"Private Car"," Kyungki-do"
"416","GMP","Asiana Airlines",42,"Korea","Japan","12pm - 6pm",36.216,"Private Car"," Kyungki-do"
"417","GMP","Korean Air",56,"Korea","China","12pm - 6pm",44,"Private Car"," Seoul"
